customer_id,segment_name,R,F,M,RFM_score,recency_days,frequency_180d,monetary_180d,ticket_count_90d,avg_discount_pct_180d,sessions_30d,return_rate_180d,negative_ticket_rate_90d,last_visit_days_ago,last_campaign_received,manual_priority_bucket,churn_next_60d
CUST00001,Needs Attention,2,1,1,4,107,1,362.73,0,0.23,1,0.0,0.0,20,welcome_offer,high,1
CUST00002,Promising New,4,1,2,7,40,1,581.0,1,0.23,8,0.0,0.0,0,free_shipping,medium,0
CUST00003,Dormant,1,1,2,4,171,1,649.98,0,0.47,1,0.0,0.0,26,none,high,1
CUST00004,Needs Attention,2,1,4,7,131,1,1604.04,0,0.16,1,0.0,0.0,14,free_shipping,high,1
CUST00005,Champions,4,5,4,13,38,3,1781.9,0,0.48,18,0.0,0.0,9,welcome_offer,medium,0
CUST00006,Loyal Customers,3,5,5,13,51,4,2989.58,2,0.38,2,0.25,1.0,1,none,medium,0
CUST00007,Promising New,5,1,3,9,3,1,719.33,0,0.18,11,0.0,0.0,12,free_shipping,low,0
CUST00008,Loyal Customers,3,5,5,13,47,3,2449.11,0,0.217,2,0.0,0.0,16,bundle_discount,medium,0
CUST00009,Promising New,4,1,2,7,31,1,376.85,0,0.49,11,0.0,0.0,6,none,low,0
CUST00010,Promising New,5,1,2,8,9,1,636.8,0,0.45,13,0.0,0.0,5,none,low,0
CUST00011,Promising New,5,1,2,8,1,1,508.08,0,0.14,10,0.0,0.0,0,new_launch,low,0
CUST00012,Needs Attention,3,1,3,7,50,1,978.88,0,0.31,3,0.0,0.0,5,none,medium,1
CUST00013,Loyal Customers,3,5,4,12,61,3,1754.44,0,0.23,4,0.0,0.0,21,free_shipping,medium,0
CUST00014,Loyal Customers,3,3,4,10,51,2,1382.39,0,0.145,11,0.0,0.0,17,bundle_discount,medium,0
CUST00015,Loyal Customers,4,3,4,11,35,2,1523.14,0,0.285,6,0.0,0.0,11,none,low,0
CUST00016,Dormant,1,1,1,3,215,0,0.0,0,0.0,2,0.0,0.0,32,welcome_offer,high,1
CUST00017,Dormant,1,1,1,3,286,0,0.0,0,0.0,4,0.0,0.0,47,bundle_discount,high,1
CUST00018,Discount Sensitive,2,1,1,4,111,1,329.21,0,0.36,3,0.0,0.0,37,new_launch,high,1
CUST00019,Loyal Customers,5,3,4,12,9,2,1598.93,0,0.105,5,0.0,0.0,0,free_shipping,low,0
CUST00020,Dormant,1,1,1,3,368,0,0.0,0,0.0,0,0.0,0.0,60,welcome_offer,high,1
CUST00021,Loyal Customers,3,3,3,9,77,2,1059.3,1,0.435,3,0.0,1.0,18,new_launch,high,1
CUST00022,Promising New,4,1,2,7,29,1,454.06,0,0.31,10,0.0,0.0,0,welcome_offer,low,0
CUST00023,Promising New,4,1,2,7,21,1,400.98,0,0.25,3,0.0,0.0,7,welcome_offer,low,0
CUST00024,Promising New,5,1,2,8,4,1,481.35,0,0.34,13,0.0,0.0,0,new_launch,low,0
CUST00025,Dormant,1,1,2,4,165,1,517.97,0,0.38,11,0.0,0.0,29,new_launch,high,1
CUST00026,Loyal Customers,3,5,5,13,72,3,3561.39,1,0.163,14,0.333,1.0,26,none,medium,0
CUST00027,Needs Attention,3,1,5,9,70,1,2128.34,1,0.3,11,1.0,0.0,18,free_shipping,medium,0
CUST00028,Needs Attention,3,1,2,6,83,1,641.83,0,0.11,1,0.0,0.0,19,free_shipping,high,0
CUST00029,Champions,5,5,4,14,18,3,1382.04,0,0.2,1,0.0,0.0,0,free_shipping,low,0
CUST00030,Champions,5,5,5,15,5,5,2819.98,2,0.362,11,0.0,1.0,3,free_shipping,medium,0
CUST00031,Needs Attention,3,1,2,6,49,1,672.95,0,0.24,6,0.0,0.0,9,new_launch,medium,1
CUST00032,Promising New,4,1,3,8,33,1,694.18,0,0.32,12,0.0,0.0,13,bundle_discount,low,0
CUST00033,Champions,5,5,4,14,12,3,1877.69,1,0.403,7,0.333,1.0,7,welcome_offer,medium,0
CUST00034,Loyal Customers,3,3,4,10,50,2,1460.21,1,0.185,7,0.0,1.0,0,welcome_offer,medium,0
CUST00035,Needs Attention,2,1,3,6,127,1,779.74,0,0.12,6,0.0,0.0,25,new_launch,high,1
CUST00036,Champions,4,5,4,13,27,4,1737.33,1,0.365,0,0.25,0.0,14,bundle_discount,medium,1
CUST00037,Discount Sensitive,2,1,2,5,102,1,435.83,0,0.43,5,0.0,0.0,28,welcome_offer,high,0
CUST00038,Loyal Customers,3,5,5,13,51,3,1955.61,1,0.317,5,0.0,0.0,14,bundle_discount,medium,0
CUST00039,Loyal Customers,5,3,3,11,15,2,1173.55,0,0.21,6,0.0,0.0,4,welcome_offer,low,0
CUST00040,Dormant,1,1,2,4,154,1,634.73,0,0.38,1,0.0,0.0,42,none,high,1
CUST00041,Discount Sensitive,3,1,1,5,54,1,366.99,0,0.44,5,0.0,0.0,22,free_shipping,medium,1
CUST00042,At-Risk,2,5,5,12,87,5,4306.0,2,0.2,3,0.0,0.5,14,none,high,0
CUST00043,Promising New,4,1,1,6,24,1,363.01,0,0.43,3,0.0,0.0,0,welcome_offer,low,0
